,PlayerName,SecondsRemaining,CarPositionX,CarPositionY,CarPositionZ,CarRotationX,CarRotationY,CarRotationZ,CarRotationW,CarLinearVelocityX,CarLinearVelocityY,CarLinearVelocityZ,CarAngularVelocityX,CarAngularVelocityY,CarAngularVelocityZ,CarSpeed
1220,RLDataCoach,244.0,-3558.78,1636.26,105.67,-0.60889953,0.7645341,0.13280152,0.16459852,42940.0,224706.0,-1635.0,-53612.0,12274.0,144.0,137.2667081777661
1221,RLDataCoach,244.0,-3523.05,1823.27,104.36,-0.620876,0.77892643,-0.053972453,-0.06981162,42814.0,224175.0,-1546.0,-53612.0,12274.0,143.0,136.93921776218818
1222,RLDataCoach,244.0,-3490.99,1991.21,103.24,-0.58370036,0.7317299,-0.2183903,-0.27599075,42710.0,223731.0,-1465.0,-53612.0,12274.0,142.0,136.66552691501977
1223,RLDataCoach,244.0,-3455.44,2177.49,102.04,-0.49254408,0.61678636,-0.38185322,-0.48079422,42640.0,223434.0,-1403.0,-53612.0,12274.0,142.0,136.48238176189628
1224,RLDataCoach,244.0,-3423.49,2345.07,100.72,0.38452905,-0.4809129,0.4904455,0.6167036,42636.0,223423.0,-2848.0,-49847.0,11410.0,128.0,136.48355047565255
1225,RLDataCoach,244.0,-3387.95,2531.34,96.1,0.28669408,-0.357965,0.5533545,0.6953175,42684.0,223639.0,-7756.0,-39105.0,8947.0,98.0,136.68479585045296
1226,RLDataCoach,244.0,-3355.91,2699.19,88.41,0.21045455,-0.26225016,0.5865866,0.73678344,42757.0,223964.0,-12260.0,-31431.0,7188.0,78.0,137.00293099127478
1228,RLDataCoach,244.0,-3320.23,2886.03,75.86,0.14000356,-0.1738399,0.6072649,0.7625012,42857.0,224412.0,-17371.0,-24655.0,5637.0,58.0,137.47624936780898
1230,RLDataCoach,244.0,-3288.04,3054.51,60.88,0.088429146,-0.10913985,0.61687845,0.7744222,42939.0,224785.0,-22087.0,-19816.0,4530.0,44.0,137.94767205502237
1233,RLDataCoach,244.0,-3245.14,3279.07,35.32,0.034405485,-0.041380957,0.6222301,0.78098243,42821.0,224175.0,-28490.0,-14807.0,3384.0,32.0,137.99967230308917
1235,RLDataCoach,244.0,-3211.05,3446.71,17.16,-0.00086586486,0.0018099542,0.62427473,0.78120226,49008.0,222586.0,-14271.0,-8110.0,1657.0,-4232.0,137.0182113602422
1340,RLDataCoach,238.0,2637.98,-222.29,133.22,0.14526898,0.12698053,0.7372931,-0.6474347,-23877.0,-187498.0,-20945.0,-25325.0,3298.0,9.0,114.1014877066903
1341,RLDataCoach,238.0,2616.08,-394.44,111.17,0.21921031,0.19192874,0.7188289,-0.63118553,-23943.0,-188029.0,-26613.0,-19389.0,2522.0,0.0,114.84386178303131
1342,RLDataCoach,238.0,2600.08,-519.92,91.9,0.2608637,0.22853252,0.7048149,-0.61883676,-23984.0,-188377.0,-30677.0,-15967.0,2074.0,0.0,115.41574284749892
1345,RLDataCoach,238.0,2580.08,-677.07,64.03,0.29964167,0.26270872,0.68932,-0.60500985,-24034.0,-188771.0,-35707.0,-9669.0,1099.0,-143.0,116.16953490722082
1346,RLDataCoach,238.0,2559.64,-836.94,37.24,0.2104977,0.19542457,0.7180744,-0.63393146,-28764.0,-225279.0,-32385.0,54234.0,-8809.0,2442.0,137.6431696609752
1348,RLDataCoach,238.0,2536.5,-1024.77,17.76,-0.004577485,0.012750686,0.7474305,-0.6642018,-26932.0,-225490.0,-13542.0,35054.0,-1420.0,407.0,136.4976375461495
1349,RLDataCoach,238.0,2516.57,-1193.91,16.17,-0.005348941,-0.005877673,0.7481289,-0.66350585,-26685.0,-225516.0,1091.0,-1072.0,400.0,-171.0,136.2551594411015
1350,RLDataCoach,238.0,2494.07,-1381.81,16.82,-0.0038977405,-0.004016426,0.7484036,-0.6632199,-27178.0,-225452.0,442.0,-290.0,-100.0,-49.0,136.25079671957886
1352,RLDataCoach,238.0,2469.06,-1588.5,17.0,-0.0036603694,-0.0033636556,0.7484797,-0.663139,-27326.0,-225430.0,81.0,-64.0,-26.0,-10.0,136.24809952920444
1353,RLDataCoach,238.0,2446.26,-1776.4,17.01,-0.0036064214,-0.0032287857,0.7484854,-0.6631336,-27354.0,-225420.0,27.0,-15.0,-6.0,-1.0,136.2441581874247
1355,RLDataCoach,238.0,2421.18,-1982.98,17.01,-0.0036064214,-0.0032018118,0.7484855,-0.6631336,-27355.0,-225416.0,27.0,-6.0,0.0,0.0,136.2418479454826
1357,RLDataCoach,238.0,2397.64,-2170.67,17.01,-0.0035902371,-0.0032018118,0.7545237,-0.6562552,-30887.0,-224801.0,27.0,0.0,36.0,-8054.0,136.14778351350415
1377,RLDataCoach,236.0,743.61,-3348.36,111.27,-0.15526552,-0.001340607,0.9874153,0.030030219,-202675.0,-24081.0,15852.0,283.0,-8833.0,-2718.0,122.82915367452468
1378,RLDataCoach,236.0,574.48,-3368.41,121.9,-0.18703562,-0.0018800866,0.98152184,0.040361337,-203192.0,-24038.0,10245.0,283.0,-6929.0,-2298.0,122.91915538222672
1379,RLDataCoach,236.0,421.89,-3386.41,127.48,-0.20958056,-0.0023656182,0.9765952,0.04829169,-203647.0,-23991.0,5173.0,283.0,-5569.0,-1974.0,123.07231330742101
1381,RLDataCoach,236.0,217.92,-3410.36,128.98,-0.21978755,-0.003752081,0.97386605,0.057133846,-204241.0,-23917.0,-1612.0,1033.0,3039.0,-1392.0,123.38574757661436
1382,RLDataCoach,236.0,64.56,-3428.27,125.65,-0.18942012,-0.006778604,0.97987974,0.06252864,-204690.0,-23854.0,-6687.0,2012.0,12319.0,-861.0,123.71023053329097
1383,RLDataCoach,236.0,-106.25,-3448.12,117.52,-0.11483676,-0.012529457,0.9910343,0.0671304,-205208.0,-23777.0,-12274.0,3238.0,22613.0,-255.0,124.16712618418774
1385,RLDataCoach,236.0,-277.51,-3467.91,104.77,0.003541684,-0.020939987,0.9973413,0.069709115,-205748.0,-23697.0,-17758.0,4609.0,32888.0,347.0,124.72084106403388
1386,RLDataCoach,236.0,-432.02,-3485.64,89.45,0.13953422,-0.030240659,0.98732597,0.0693045,-206234.0,-23625.0,-22564.0,4934.0,35001.0,741.0,125.28330092921402
1388,RLDataCoach,236.0,-604.11,-3505.3,68.27,0.26564348,-0.0384947,0.96093297,0.067524225,-206733.0,-23554.0,-27759.0,3846.0,27433.0,532.0,125.94839841363604
1390,RLDataCoach,236.0,-793.77,-3526.29,40.42,0.36113173,-0.04220636,0.92950946,0.061762583,-206415.0,-18341.0,-29666.0,2526.0,12958.0,9138.0,125.60454522954174
1393,RLDataCoach,236.0,-994.0,-3526.5,30.71,0.18957661,0.0415428,0.9802417,-0.038224958,-229042.0,2491.0,-6400.0,-11457.0,-53234.0,7731.0,137.4869631063251
1395,RLDataCoach,236.0,-1165.35,-3529.42,24.41,-0.040469233,0.09430947,0.9940226,-0.037243105,-228207.0,-7292.0,-7252.0,-2222.0,-36613.0,2796.0,137.06316741604945
1437,RLDataCoach,233.0,-2763.46,-197.13,46.04,0.15709977,-0.13166861,0.7399497,0.6406696,-11326.0,205057.0,-32534.0,14671.0,1598.0,1112.0,124.7583286404559
1440,RLDataCoach,233.0,-2770.19,-13.33,23.45,0.0693153,-0.005483811,0.73762614,0.67161965,-10653.0,226691.0,-23712.0,-54867.0,3089.0,-2245.0,136.9059521724311
1442,RLDataCoach,233.0,-2781.47,156.41,16.16,-0.0038276082,0.01410478,0.72885895,0.6845079,-16173.0,226237.0,-1183.0,5436.0,-9546.0,-4514.0,136.0904567239011
1443,RLDataCoach,233.0,-2792.84,345.04,16.6,-0.004971305,0.0027486489,0.7208329,0.6930856,-11407.0,226461.0,743.0,288.0,202.0,-1340.0,136.04959477646378
1444,RLDataCoach,233.0,-2800.1,514.94,16.92,-0.0039570834,0.0030831262,0.7189446,0.6950493,-8667.0,226557.0,239.0,61.0,189.0,-408.0,136.03370675402476
1446,RLDataCoach,233.0,-2806.73,703.74,17.01,-0.003568658,0.0032827337,0.7182984,0.6957183,-7540.0,226589.0,44.0,15.0,48.0,-184.0,136.02865229252254
1447,RLDataCoach,233.0,-2808.54,930.14,17.01,-0.0033906295,0.003406814,0.68701106,0.72663105,6078.0,226001.0,29.0,2.0,6.0,-14871.0,135.6496301998645
1448,RLDataCoach,233.0,-2792.61,1117.08,17.01,-0.0030939158,0.003671159,0.63377506,0.7735025,31217.0,222194.0,29.0,2.0,11.0,-18200.0,134.62571523954847
1449,RLDataCoach,233.0,-2747.14,1315.95,17.01,-0.0027378593,0.003940899,0.5643114,0.82554805,65323.0,211465.0,29.0,2.0,5.0,-19381.0,132.79470961676145
1450,RLDataCoach,233.0,-2678.29,1485.25,17.01,-0.0023871975,0.0041566906,0.49495554,0.86890507,96525.0,195516.0,29.0,0.0,3.0,-19796.0,130.82694592445395
1451,RLDataCoach,233.0,-2584.49,1638.79,17.01,-0.0020095618,0.0043401136,0.421257,0.9069287,125175.0,174303.0,29.0,-2.0,0.0,-19983.0,128.756025952186
1454,RLDataCoach,233.0,-2481.04,1760.18,17.01,-0.0016696895,0.0044857734,0.35200372,0.93598634,147590.0,151417.0,29.0,-3.0,0.0,-20067.0,126.86831778974607
1475,RLDataCoach,231.0,-518.32,3061.75,95.11,-0.40432802,-0.117744595,0.41592693,0.80601484,180269.0,115906.0,-20938.0,-2567.0,-6045.0,6182.0,129.20148874823386
1477,RLDataCoach,231.0,-413.08,3129.46,81.61,-0.41351545,-0.13385889,0.4236145,0.79475623,180506.0,116204.0,-24781.0,-1812.0,-4536.0,5182.0,129.6609351373034
1478,RLDataCoach,231.0,-262.51,3226.5,58.44,-0.42188817,-0.15119785,0.43300155,0.7820865,180831.0,116641.0,-30270.0,-1108.0,-2985.0,4049.0,130.3827008583577
1480,RLDataCoach,231.0,-109.03,3319.2,34.62,-0.342552,-0.18118222,0.4520236,0.8034338,219519.0,64923.0,-19722.0,44660.0,30962.0,8471.0,137.85976950017
1482,RLDataCoach,231.0,90.18,3380.21,20.59,-0.056653667,-0.008672178,0.48207277,0.8742545,214309.0,68805.0,-12909.0,24484.0,41713.0,-3059.0,135.27188326965808
1483,RLDataCoach,231.0,212.8,3422.16,16.55,0.0073396205,0.013446615,0.47704482,0.87874544,206992.0,74351.0,-1831.0,5285.0,-44.0,-2613.0,131.96878516285582
1485,RLDataCoach,231.0,380.43,3487.89,16.75,0.0010546828,0.0058668414,0.4641242,0.88575006,196594.0,82479.0,470.0,-788.0,-1318.0,-4412.0,127.91713952289584
1487,RLDataCoach,231.0,571.06,3575.22,17.0,-0.0016103467,0.0044803787,0.44010648,0.89793295,185548.0,91306.0,91.0,-143.0,-160.0,-5219.0,124.0779896660161
1488,RLDataCoach,231.0,735.94,3663.07,17.02,-0.0019178501,0.0043778773,0.42288083,0.9061727,174147.0,100521.0,16.0,-27.0,-22.0,-3103.0,120.64573656022826
1489,RLDataCoach,231.0,873.76,3753.03,17.02,-0.0019448241,0.0043778773,0.41689798,0.9089407,157738.0,114495.0,15.0,-7.0,-4.0,-333.0,116.94672924814955
1492,RLDataCoach,231.0,1020.94,3876.62,17.02,-0.0020095618,0.004361693,0.41663364,0.9090618,140125.0,129668.0,14.0,-24.0,-32.0,-4256.0,114.54942241757485
1493,RLDataCoach,231.0,1136.22,3985.79,17.02,-0.001869297,0.0044210358,0.36453044,0.9311791,139014.0,129951.0,15.0,-1.0,-3.0,-19361.0,114.17694923197064
1511,RLDataCoach,229.0,2595.9,3549.74,40.43,0.0039516883,0.0046691964,-0.6089804,0.7931617,63764.0,-182708.0,33241.0,2022.0,494.0,-7422.0,117.80954551631204
1512,RLDataCoach,229.0,2644.53,3409.46,66.3,0.020902224,0.026021885,-0.628828,0.77682775,65647.0,-190493.0,32978.0,11099.0,2702.0,-6412.0,122.50092918472087
1514,RLDataCoach,229.0,2705.52,3226.73,92.49,0.08506819,0.104904935,-0.64394426,0.7530565,66408.0,-219059.0,22424.0,53839.0,9859.0,-5398.0,137.99961354858934
1516,RLDataCoach,229.0,2760.62,3043.15,106.72,0.27229527,0.32355687,-0.5957038,0.682864,65557.0,-220130.0,12026.0,54403.0,8022.0,-932.0,137.9994284662078
1517,RLDataCoach,229.0,2809.7,2877.81,111.66,0.42171013,0.49493396,-0.5015049,0.5706958,65428.0,-220426.0,729.0,54427.0,7868.0,-845.0,137.95952811009465
1519,RLDataCoach,229.0,2864.2,2694.13,110.59,0.5515418,0.6421081,-0.35377863,0.397919,65408.0,-220360.0,-1665.0,54441.0,7775.0,-843.0,137.92107519897024
1520,RLDataCoach,229.0,2924.14,2492.32,109.05,0.63666666,0.736676,-0.15494724,0.16719891,65339.0,-219953.0,-1639.0,54441.0,7771.0,-844.0,137.67508722481347
1521,RLDataCoach,229.0,2978.54,2309.27,107.73,0.65395164,0.7531076,0.041078847,-0.05906514,65259.0,-219418.0,-1551.0,54441.0,7771.0,-844.0,137.35335637020304
1523,RLDataCoach,229.0,3054.61,2053.72,106.0,0.5797351,0.66284406,0.30534396,-0.36236718,65167.0,-218768.0,-1432.0,54441.0,7772.0,-844.0,136.96335817042456
1524,RLDataCoach,229.0,3092.62,1926.16,105.16,0.50291836,0.5722382,0.42,-0.49316987,65148.0,-218614.0,-1398.0,54441.0,7772.0,-844.0,136.871425175016
