PlayerName,SecondsRemaining,CarPositionX,CarPositionY,CarPositionZ,CarRotationX,CarRotationY,CarRotationZ,CarRotationW,CarLinearVelocityX,CarLinearVelocityY,CarLinearVelocityZ,CarAngularVelocityX,CarAngularVelocityY,CarAngularVelocityZ,CarSpeed
RLDataCoach,277.0,3253.02,2109.17,17.02,0.0033690503,0.0034176037,-0.6988203,0.7152812,5222.0,-224307.0,-11.0,0.0,8.0,0.0,134.62066659855756
RLDataCoach,277.0,3257.46,1918.7,17.02,0.0033690503,0.0034176037,-0.6988203,0.7152812,5352.0,-229937.0,-11.0,0.0,8.0,0.0,137.99956694801617
RLDataCoach,277.0,3261.51,1745.63,17.02,0.0033690503,0.0034176037,-0.6988203,0.7152812,5352.0,-229937.0,-11.0,0.0,8.0,0.0,137.99956694801617
RLDataCoach,277.0,3268.94,1553.77,21.92,0.003352866,0.0034283933,-0.6782013,0.73486054,13980.0,-227675.0,29470.0,0.0,-54.0,13021.0,137.99977424981535
RLDataCoach,277.0,3286.98,1344.9,50.76,1.8881788e-05,-0.0004774395,-0.6226671,0.78248674,20845.0,-226845.0,31725.0,-992.0,-155.0,15921.0,137.99953522747822
RLDataCoach,277.0,3297.68,1154.81,73.47,0.0355276,0.016931653,-0.58336586,0.81125546,-21912.0,-228059.0,20215.0,41181.0,-17380.0,7581.0,137.9995949341881
RLDataCoach,277.0,3282.56,982.89,85.83,0.2883071,0.03409798,-0.5558037,0.7789728,-18609.0,-228871.0,13094.0,38234.0,-38793.0,-7626.0,137.99958568372585
RLDataCoach,277.0,3267.7,772.11,91.62,0.5453432,-0.0807577,-0.50863147,0.6613418,-14026.0,-229569.0,-1013.0,28777.0,-44241.0,-15477.0,137.9995833985016
RLDataCoach,277.0,3256.71,541.77,89.22,0.7558528,-0.21951781,-0.41252822,0.45860532,-8225.0,-229838.0,-2609.0,28287.0,-44088.0,-16761.0,137.9999527173832
RLDataCoach,277.0,3252.51,368.88,87.3,0.855514,-0.3116289,-0.31456366,0.26838943,-3437.0,-229960.0,-2504.0,28819.0,-43115.0,-18317.0,137.99958858851718
